Match Number,Round Number,Date,Location,Home Team,Away Team,Result
163,19,27/01/2024 14:30,Mercedes-Benz Arena,VfB Stuttgart,RasenBallsport Leipzig,
164,19,27/01/2024 14:30,,Augsburg,Bayern Munich,
165,19,27/01/2024 14:30,wohninvest WESERSTADION,Werder Bremen,Freiburg,
166,19,27/01/2024 14:30,PreZero Arena,Hoffenheim,FC Heidenheim,
167,19,27/01/2024 14:30,Volkswagen Arena,Wolfsburg,FC Cologne,
168,19,27/01/2024 14:30,Deutsche Bank Park,Eintracht Frankfurt,Mainz 05,
169,19,27/01/2024 14:30,BayArena,Bayer Leverkusen,Borussia M.Gladbach,
170,19,27/01/2024 14:30,An der Alten Försterei,Union Berlin,Darmstadt,
171,19,27/01/2024 14:30,SIGNAL IDUNA PARK,Borussia Dortmund,Bochum,
172,20,03/02/2024 14:30,Merck-Stadion am Böllenfalltor,Darmstadt,Bayer Leverkusen,
173,20,03/02/2024 14:30,Voith-Arena,FC Heidenheim,Borussia Dortmund,
174,20,03/02/2024 14:30,Vonovia Ruhrstadion,Bochum,Augsburg,
175,20,03/02/2024 14:30,RheinEnergieSTADION,FC Cologne,Eintracht Frankfurt,
176,20,03/02/2024 14:30,MEWA ARENA,Mainz 05,Werder Bremen,
177,20,03/02/2024 14:30,Volkswagen Arena,Wolfsburg,Hoffenheim,
178,20,03/02/2024 14:30,Europa-Park Stadion,Freiburg,VfB Stuttgart,
179,20,03/02/2024 14:30,Red Bull Arena,RasenBallsport Leipzig,Union Berlin,
180,20,03/02/2024 14:30,Allianz Arena,Bayern Munich,Borussia M.Gladbach,
